Delphes classes imported
-------------------------------------->  50000 events have been loaded and are ready for analysis!!!!!!!!!!!
Raw number of events before full selection: 50000
Raw number of events that passed full selection: 12306 +- 110.932411855
Used cross section 0.00058819 pb
Weighted number of events that passed full selection: 5.2115516208 +- 0.0469795214369
Bin range, Value
1250.0-1500.0, 0.25155711174
1500.0-1750.0, 0.0669124945998
1750.0-2000.0, 0.0186338592321
2000.0-2250.0, 0.00889343302697
2250.0-2500.0, 0.00423496821895
2500.0-2750.0, 0.00169398717117
2750.0-3000.0, 0.00127049034927
3000.0-3250.0, 0.000423496792791
3250.0-3500.0, 0.000423496792791
3500.0-3750.0, 0.0
3750.0-4000.0, 0.000423496792791
4000.0-4250.0, 0.0
4250.0-4500.0, 0.0
4500.0-4750.0, 0.0
4750.0-5000.0, 0.0
5000.0-5250.0, 0.0
5250.0-5500.0, 0.0
5500.0-5750.0, 0.0
5750.0-6000.0, 0.0
6000.0-6250.0, 0.0
6250.0-6500.0, 0.0
6500.0-6750.0, 0.0
6750.0-7000.0, 0.0
7000.0-7250.0, 0.0
7250.0-7500.0, 0.0
7500.0-7750.0, 0.0
7750.0-8000.0, 0.0
